Id,Year,New Or Old,Name,Address,Production Origin,Color,Fuel,Car Gearbox,Used (kilomet),Price
4718324,2018,Xe cũ,"Mercedes Benz E class E200",TP HCM,Xe lắp ráp trong nước,màu đen,"máy xăng 2.0 L",số tự động,28500,1 Tỷ 675 Triệu
4652554,2014,Xe cũ,"Lexus NX 200t",TP HCM,Xe nhập khẩu,màu đen,"máy xăng 2.0 L",số tự động,76720,1 Tỷ 550 Triệu
4818382,2014,Xe cũ,"Mini Cooper Countryman",TP HCM,Xe nhập khẩu,màu đỏ,"máy xăng 1.6 L",số tự động,60000,920 Triệu
4581343,2023,Xe mới,"Ford Ranger XLS 2.0L 4x2 AT",Hà Nội,Xe lắp ráp trong nước,màu trắng,"máy dầu 2.2 L",số tự động,0,640 Triệu
4731466,2023,Xe mới,"Ford Ranger XLS 2.0L 4x2 AT",Hà Nội,Xe lắp ráp trong nước,màu đen,"máy dầu 2.2 L",số tự động,0,640 Triệu
4680620,2023,Xe mới,"Ford Explorer Limited 2.3L EcoBoost",Hà Nội,Xe nhập khẩu,màu đen,"máy xăng 2.3 L",số tự động,0,2 Tỷ 289 Triệu
4580541,2023,Xe mới,"Ford Ranger Wildtrak 2.0L 4x4 AT",Hà Nội,Xe lắp ráp trong nước,màu trắng,"máy dầu 2.0 L",số tự động,0,889 Triệu
4680604,2023,Xe mới,"Ford Explorer Limited 2.3L EcoBoost",Hà Nội,Xe nhập khẩu,màu trắng,"máy xăng 2.3 L",số tự động,0,2 Tỷ 288 Triệu
4527784,2023,Xe mới,"Ford Everest Ambiente 2.0L 4x2 AT",Hà Nội,Xe nhập khẩu,màu trắng,"máy dầu 2.0 L",số tự động,0,1 Tỷ 59 Triệu
4534409,2023,Xe mới,"Ford Ranger XLT 2.0L 4x4 AT",Hà Nội,Xe lắp ráp trong nước,màu đỏ,"máy dầu 2.2 L",số tự động,0,760 Triệu
4519142,2023,Xe mới,"Ford Everest Titanium Plus 2.0L 4x4 AT",Hà Nội,Xe nhập khẩu,màu đen,"máy dầu 2.0 L",số tự động,0,1 Tỷ 390 Triệu
4693259,2023,Xe mới,"Ford Everest Titanium 2.0L 4x2 AT",Hà Nội,Xe nhập khẩu,màu đen,"máy dầu 2.0 L",số tự động,0,1 Tỷ 149 Triệu
4526027,2023,Xe mới,"Ford Everest Titanium 2.0L 4x2 AT",Hà Nội,Xe nhập khẩu,màu đỏ,"máy dầu 2.0 L",số tự động,0,1 Tỷ 225 Triệu
